symbol,strike,pc,settle_date,open,high,low,close,adj_close,volume,open_interest
CLF18,29.5,P,20170309,0.0,0.25,0.25,0.25,0.25,0,1
CLF18,30.0,P,20170309,0.0,0.27,0.27,0.27,0.27,0,1
CLF18,35.0,P,20170309,0.71,0.71,0.71,0.71,0.71,0,2
CLF18,37.0,C,20170309,0.0,15.23,15.23,15.23,15.23,0,17
CLF18,40.0,C,20170309,0.0,12.76,12.76,12.76,12.76,0,0
CLF18,40.0,P,20170309,1.3,1.5,1.3,1.5,1.5,3,132
CLF18,42.0,C,20170309,0.0,11.21,11.21,11.21,11.21,0,0
CLF18,42.0,P,20170309,0.0,1.94,1.94,1.94,1.94,0,900
CLF18,45.0,C,20170309,0.0,9.04,9.04,9.04,9.04,0,0
CLF18,45.0,P,20170309,0.0,2.75,2.75,2.75,2.75,0,217
CLF18,48.0,C,20170309,0.0,7.06,7.06,7.06,7.06,0,4
CLF18,48.0,P,20170309,0.0,3.75,3.75,3.75,3.75,0,7
CLF18,50.0,C,20170309,5.75,5.87,5.75,5.87,5.87,0,100
CLF18,50.0,P,20170309,4.7,4.7,4.54,4.54,4.54,75,1484
CLF18,51.0,P,20170309,0.0,4.98,4.98,4.98,4.98,0,1
CLF18,54.5,C,20170309,0.0,3.64,3.64,3.64,3.64,0,500
CLF18,55.0,C,20170309,0.0,5.0,3.43,3.43,3.43,0,104
CLF18,55.0,P,20170309,0.0,7.08,5.15,7.08,7.08,0,684
CLF18,55.5,C,20170309,0.0,3.24,3.24,3.24,3.24,0,400
CLF18,55.5,P,20170309,0.0,7.38,7.38,7.38,7.38,0,400
CLF18,56.0,C,20170309,0.0,3.05,3.05,3.05,3.05,0,150
CLF18,56.0,P,20170309,0.0,7.69,7.69,7.69,7.69,0,50
CLF18,60.0,C,20170309,0.0,1.8,1.8,1.8,1.8,800,1765
CLF18,60.0,P,20170309,0.0,10.42,10.42,10.42,10.42,0,193
CLF18,61.0,C,20170309,0.0,1.56,1.56,1.56,1.56,0,1
CLF18,65.0,C,20170309,0.0,1.34,0.89,0.89,0.89,0,629
CLF18,66.0,C,20170309,0.0,0.78,0.78,0.78,0.78,0,1
CLF18,69.0,C,20170309,0.0,0.55,0.55,0.55,0.55,0,2
CLF18,70.0,C,20170309,0.53,0.53,0.46,0.49,0.49,0,88
CLF18,75.0,C,20170309,0.3,0.3,0.29,0.29,0.29,0,101
CLF18,81.0,C,20170309,0.0,0.21,0.16,0.16,0.16,0,10
CLF19,50.0,C,20170309,0.0,7.51,7.51,7.51,7.51,0,90
CLF19,50.0,P,20170309,0.0,6.3,6.3,6.3,6.3,0,90
CLF19,86.0,C,20170309,0.44,0.44,0.44,0.44,0.44,0,10
CLF19,90.0,C,20170309,0.0,0.36,0.36,0.36,0.36,0,1
CLF20,68.0,C,20170309,0.0,2.39,2.39,2.39,2.39,0,160
CLF20,83.0,C,20170309,0.0,0.98,0.98,0.98,0.98,0,160
CLF18,100.0,C,20170310,0.0,0.03,0.03,0.03,0.03,0,101
CLF18,28.0,P,20170310,0.0,0.18,0.18,0.18,0.18,0,1
CLF18,29.0,P,20170310,0.0,0.23,0.23,0.23,0.23,0,25
CLF18,29.5,P,20170310,0.0,0.26,0.26,0.26,0.26,0,1
CLF18,30.0,P,20170310,0.0,0.29,0.29,0.29,0.29,0,1
CLF18,35.0,P,20170310,0.0,0.74,0.71,0.74,0.74,3,5
CLF18,37.0,C,20170310,0.0,14.43,14.43,14.43,14.43,0,17
CLF18,40.0,C,20170310,0.0,11.99,11.99,11.99,11.99,0,0
CLF18,40.0,P,20170310,1.42,1.56,1.42,1.56,1.56,1,133
CLF18,42.0,C,20170310,0.0,10.47,10.47,10.47,10.47,0,0
CLF18,42.0,P,20170310,0.0,2.03,2.03,2.03,2.03,0,900
CLF18,45.0,C,20170310,0.0,8.36,8.36,8.36,8.36,0,0
CLF18,45.0,P,20170310,0.0,2.9,2.9,2.9,2.9,0,217
CLF18,48.0,C,20170310,0.0,6.48,6.48,6.48,6.48,0,4
CLF18,48.0,P,20170310,0.0,4.01,4.01,4.01,4.01,0,7
CLF18,50.0,C,20170310,0.0,5.75,5.37,5.37,5.37,3,103
CLF18,50.0,P,20170310,0.0,4.88,4.69,4.88,4.88,30,1504
CLF18,51.0,P,20170310,0.0,5.36,5.36,5.36,5.36,0,1
CLF18,54.5,C,20170310,0.0,3.24,3.24,3.24,3.24,0,500
CLF18,55.0,C,20170310,0.0,5.0,3.05,3.05,3.05,0,104
CLF18,55.0,P,20170310,0.0,7.53,5.15,7.53,7.53,0,684
CLF18,55.5,C,20170310,0.0,2.87,2.87,2.87,2.87,0,400
CLF18,55.5,P,20170310,0.0,7.85,7.85,7.85,7.85,0,400
CLF18,56.0,C,20170310,0.0,2.69,2.69,2.69,2.69,0,150
CLF18,56.0,P,20170310,0.0,8.17,8.17,8.17,8.17,0,50
CLF18,60.0,C,20170310,1.6,1.6,1.57,1.57,1.57,10,1765
CLF18,60.0,P,20170310,0.0,11.03,11.03,11.03,11.03,0,193
CLF18,61.0,C,20170310,0.0,1.36,1.36,1.36,1.36,0,1
CLF18,65.0,C,20170310,0.0,1.34,0.77,0.77,0.77,0,629
CLF18,66.0,C,20170310,0.0,0.68,0.68,0.68,0.68,0,1
CLF18,69.0,C,20170310,0.0,0.46,0.46,0.46,0.46,0,2
CLF18,70.0,C,20170310,0.0,0.53,0.4,0.4,0.4,19,84
CLF18,75.0,C,20170310,0.25,0.25,0.23,0.23,0.23,24,81
CLF18,81.0,C,20170310,0.0,0.21,0.12,0.12,0.12,0,10
CLF19,50.0,C,20170310,0.0,7.02,7.02,7.02,7.02,0,90
CLF19,50.0,P,20170310,0.0,6.65,6.65,6.65,6.65,0,90
CLF19,86.0,C,20170310,0.0,0.44,0.37,0.37,0.37,10,0
CLF19,90.0,C,20170310,0.0,0.29,0.29,0.29,0.29,0,1
CLF20,68.0,C,20170310,0.0,2.24,2.24,2.24,2.24,0,160
CLF20,83.0,C,20170310,0.0,0.93,0.93,0.93,0.93,0,160
CLF18,100.0,C,20170313,0.0,0.03,0.03,0.03,0.03,0,101
CLF18,28.0,P,20170313,0.0,0.18,0.18,0.18,0.18,0,1
CLF18,29.0,P,20170313,0.0,0.23,0.23,0.23,0.23,0,25
CLF18,29.5,P,20170313,0.0,0.26,0.26,0.26,0.26,0,1
