symbol,settle_date,contract_num,open,high,low,close,adj_close,volume,open_interest
CLF11,20100901,4,76.11,78.22,76.11,77.9,77.9,38592,56592
CLF12,20100901,16,0.0,82.98,82.98,82.98,82.98,130,10445
CLF13,20100901,28,0.0,85.19,85.19,85.19,85.19,0,1900
CLF14,20100901,40,0.0,86.32,86.32,86.32,86.32,0,153
CLF15,20100901,52,0.0,87.42,87.42,87.42,87.42,0,0
CLF11,20100902,4,77.77,78.47,76.75,78.43,78.43,34877,58571
CLF12,20100902,16,0.0,83.31,83.31,83.31,83.31,59,10445
CLF13,20100902,28,0.0,85.34,85.34,85.34,85.34,0,1900
CLF14,20100902,40,0.0,86.41,86.41,86.41,86.41,0,153
CLF15,20100902,52,0.0,87.51,87.51,87.51,87.51,0,0
CLF11,20100903,4,78.17,78.88,76.83,78.25,78.25,28026,59398
CLF12,20100903,16,0.0,83.1,83.1,83.1,83.1,41,10428
CLF13,20100903,28,0.0,85.16,85.16,85.16,85.16,0,1900
CLF14,20100903,40,0.0,86.3,86.3,86.3,86.3,0,153
CLF15,20100903,52,0.0,87.45,87.45,87.45,87.45,0,0
CLF11,20100907,4,78.04,79.13,76.72,78.73,78.73,22747,60154
CLF12,20100907,16,0.0,83.82,83.82,83.82,83.82,483,10771
CLF13,20100907,28,0.0,85.89,85.89,85.89,85.89,0,1900
CLF14,20100907,40,0.0,87.05,87.05,87.05,87.05,0,153
CLF15,20100907,52,0.0,88.23,88.23,88.23,88.23,0,0
CLF11,20100909,4,79.37,79.74,77.75,78.27,78.27,31274,64219
CLF12,20100909,16,0.0,83.13,83.13,83.13,83.13,419,11003
CLF13,20100909,28,0.0,85.08,85.08,85.08,85.08,0,1900
CLF14,20100909,40,0.0,86.24,86.24,86.24,86.24,0,153
CLF15,20100909,52,0.0,87.46,87.46,87.46,87.46,0,0
CLF11,20100910,4,77.58,79.21,77.49,79.0,79.0,31508,62277
CLF12,20100910,16,0.0,83.38,83.38,83.38,83.38,123,11083
CLF13,20100910,28,0.0,85.21,85.21,85.21,85.21,0,1900
CLF14,20100910,40,0.0,86.35,86.35,86.35,86.35,0,153
CLF15,20100910,52,0.0,87.57,87.57,87.57,87.57,0,0
CLF11,20100913,4,78.95,80.23,78.95,79.65,79.65,64028,59792
CLF12,20100913,16,0.0,84.17,84.17,84.17,84.17,335,11188
CLF13,20100913,28,0.0,86.07,86.07,86.07,86.07,0,1900
CLF14,20100913,40,0.0,87.3,87.3,87.3,87.3,0,153
CLF15,20100913,52,0.0,88.58,88.58,88.58,88.58,0,0
CLF11,20100914,4,79.76,80.5,79.13,79.74,79.74,50190,62162
CLF12,20100914,16,0.0,84.43,84.43,84.43,84.43,0,11188
CLF13,20100914,28,0.0,86.46,86.46,86.46,86.46,0,1900
